ShotType;Competition;PlayerType;Transition;TwoLegged;Movement;Angle;Distance
other;U14;F;1;1;no;22.58;0.98
above head;U14;F;0;1;no;55.35;1.3
layup;U14;F;0;0;drive;77.03;0.66
layup;U14;F;0;0;dribble or cut;64.48;0.59
above head;U14;F;1;0;no;42.56;0.71
layup;U14;F;1;0;dribble or cut;42.78;0.79
above head;U14;C;0;0;no;33.16;1.08
above head;U14;C;0;1;no;70.78;4.54
other;U14;G;0;1;no;65.78;5.87
above head;U14;F;1;0;dribble or cut;18.59;1.01
layup;U14;F;0;0;dribble or cut;70.14;0.91
other;U14;F;0;1;no;30.82;7.32
layup;U14;F;1;0;dribble or cut;53.57;1.07
layup;U14;F;0;0;dribble or cut;53.45;1.33
other;U14;F;0;1;no;43.72;7.21
other;U14;F;0;1;no;77.95;6.9
layup;U14;F;0;0;drive;39.79;0.75
other;U14;F;0;1;no;44.93;7.05
above head;U14;F;0;0;no;25.09;2.78
layup;U14;F;0;1;no;75.89;1.49
above head;U14;G;0;1;no;7.94;5.04
layup;U14;G;0;0;drive;71.09;0.62
above head;U14;G;0;1;no;78.22;2.57
above head;U14;G;0;1;no;24.02;5.53
above head;U14;G;0;1;no;4.48;2.74
above head;U14;G;0;1;no;40.67;7.15
layup;U14;G;1;0;dribble or cut;62.05;0.55
above head;U14;G;0;1;no;14.02;3.32
above head;U14;G;0;1;no;51.81;7.29
layup;U14;G;0;0;dribble or cut;12.88;1.2
layup;U14;G;0;0;drive;17.02;0.55
above head;U14;G;0;1;no;86.99;6.92
above head;U14;G;1;1;no;27.06;7.3
above head;U14;G;0;1;no;52.38;7.03
above head;U14;G;0;1;no;54.36;7.19
above head;U14;G;0;1;no;85.53;3.98
above head;U14;G;0;1;no;23.25;7.19
above head;U14;G;0;1;no;18.52;7.08
other;U14;G;0;0;dribble or cut;48.67;0.71
above head;U14;G;0;1;no;11.44;7.29
above head;U14;G;0;1;no;71.75;2.71
above head;U14;G;0;1;no;3.09;5.97
other;U14;G;0;1;no;17.71;7.22
other;U14;G;0;1;no;65.36;7.07
layup;U14;G;1;0;dribble or cut;70.94;0.45
layup;U14;G;0;0;dribble or cut;59.07;0.81
other;U14;G;0;1;no;51.28;7.21
above head;U14;G;1;1;no;42.97;0.86
layup;U14;G;1;0;dribble or cut;71.09;0.62
layup;U14;F;1;0;dribble or cut;57.01;0.77
layup;U14;F;0;0;drive;29.62;0.54
other;U14;F;0;1;no;64.78;7.05
above head;U14;F;0;1;no;60.91;7.17
above head;U14;F;0;1;no;41.88;7.14
above head;U14;F;0;1;no;49.65;7.38
above head;U14;F;1;1;no;58.14;1.2
other;U14;F;1;0;dribble or cut;70.94;0.45
above head;U14;F;0;1;no;80.97;3.69
layup;U14;F;0;1;no;59.97;0.62
other;U14;F;0;1;no;22.85;7.17
layup;U14;F;0;0;dribble or cut;75.89;0.61
layup;U14;F;1;0;dribble or cut;83.85;0.38
above head;U14;F;0;1;no;24.8;7.28
layup;U14;F;0;0;drive;20.31;0.62
other;U14;F;0;1;no;53.98;7.48
above head;U14;F;0;1;no;7.81;7.49
layup;U14;F;0;0;dribble or cut;40.97;0.98
layup;U14;F;0;0;dribble or cut;26.86;0.83
above head;U14;F;0;1;no;30.72;5.56
layup;U14;F;1;0;dribble or cut;80.91;0.6
layup;U14;F;0;0;dribble or cut;39.79;0.75
above head;U14;F;0;1;no;69.11;4.64
above head;U14;F;0;1;no;67.16;4.13
above head;U14;F;0;1;no;74.55;0.56
above head;U14;F;0;0;dribble or cut;23.85;0.93
layup;U14;F;0;0;drive;67.28;0.52
other;U14;G;0;1;no;83.15;1.24
layup;U14;G;0;0;dribble or cut;52.08;0.68
layup;U14;G;1;0;dribble or cut;66.54;0.64
other;U14;G;0;0;dribble or cut;15.55;2
above head;U14;G;0;1;no;33.85;7.31
layup;U14;G;1;0;dribble or cut;55.84;0.65
above head;U14;G;0;1;no;31.89;4.87
above head;U14;G;0;1;no;26.76;5.47
above head;U14;G;0;1;no;23.19;7.48
above head;U14;G;0;1;no;13.89;7.36
other;U14;G;0;0;dribble or cut;32.3;1.7
above head;U14;G;0;1;no;49.11;5.24
above head;U14;G;1;0;no;17.29;2.52
other;U14;G;0;1;no;3.17;3.87
other;U14;G;0;1;no;23.89;8.47
above head;U14;G;0;1;no;13.57;7.08
above head;U14;G;0;0;dribble or cut;9.3;3.31
layup;U14;G;0;1;no;22.03;0.86
other;U14;G;0;1;no;23.3;7.31
above head;U14;G;0;1;no;20.03;1.88
above head;U14;G;0;0;dribble or cut;53.57;1.07
above head;U14;G;0;1;no;38.97;2.13
above head;U14;G;0;1;no;25.15;5.04
above head;U14;G;0;0;dribble or cut;8.46;1.46
above head;U14;G;0;1;no;17.7;5.64
above head;U14;G;0;1;no;9.48;1.95
above head;U14;G;0;1;no;21.28;7.38
layup;U14;G;0;0;dribble or cut;36.52;0.72
above head;U14;G;0;1;no;24.48;7.5
layup;U14;G;0;0;drive;69.83;0.74
other;U14;G;1;0;dribble or cut;15.13;1.44
above head;U14;G;0;1;no;21.5;7.16
above head;U14;G;0;1;no;62.05;2.73
hook shot;U14;G;0;1;no;77.03;0.66
other;U14;G;0;0;no;5.75;1.07
above head;U14;G;0;1;no;14.78;4.83
above head;U14;G;0;1;no;20.6;7
above head;U14;G;0;1;no;26.68;7.28
above head;U14;G;0;0;dribble or cut;8.12;3.41
other;U14;G;0;1;no;16.24;8.62
above head;U14;G;0;1;no;63.42;7.07
above head;U14;G;0;0;no;72.93;2.52
above head;U14;G;1;1;no;0.41;7.53
above head;U14;G;0;0;no;83.93;1.4
above head;U14;G;0;1;no;51.94;4.69
above head;U14;G;0;1;no;27.09;4.82
above head;U14;G;1;1;no;86.41;0.64
above head;U14;G;0;1;no;19.83;4.74
above head;U14;G;0;0;no;25.62;1.24
above head;U14;G;0;1;no;31.84;7.21
above head;U14;G;0;1;no;32.07;7.16
above head;U14;G;0;1;no;0.92;3.33
above head;U14;G;0;1;no;0.83;3.7
other;U14;G;0;0;dribble or cut;34.35;1.61
above head;U14;G;0;0;dribble or cut;66.07;2.75
above head;U14;G;0;1;no;45;3.71
layup;U14;G;0;0;dribble or cut;39.39;1.1
layup;U14;G;0;0;dribble or cut;64.77;0.47
hook shot;U14;G;0;1;no;36.39;0.45
above head;U14;G;0;0;dribble or cut;7.81;1.18
above head;U14;G;1;1;no;66.03;0.76
layup;U14;G;1;0;dribble or cut;59.07;0.81
above head;U14;G;0;0;dribble or cut;13.66;1.81
layup;U14;G;1;0;dribble or cut;54.7;0.72
above head;U14;G;0;1;no;5.18;4.15
above head;U14;G;0;1;no;71.17;3.96
above head;U14;G;0;1;no;28.88;4.66
other;U14;G;0;0;dribble or cut;21.42;1.03
layup;U14;G;1;0;dribble or cut;59.07;0.81
hook shot;U14;G;0;1;no;73.72;2.06
above head;U14;G;0;1;no;45.61;3.6
above head;U14;G;0;1;no;5.56;4.42
above head;U14;G;0;1;no;44.96;5.23
above head;U14;G;0;1;no;29.91;5.26
other;U14;F;0;1;no;56.82;7.55
other;U14;F;0;1;no;67.95;6.99
layup;U14;F;0;1;no;59.07;0.81
above head;U14;F;0;1;no;71.61;5.42
layup;U14;F;1;0;drive;42.97;0.86
layup;U14;F;0;1;no;72.56;0.67
above head;U14;F;0;1;no;80.54;5.49
layup;U14;F;0;0;dribble or cut;34.3;0.57
above head;U14;F;0;1;no;80.43;4.13
other;U14;F;0;1;no;80.22;6.58
above head;U14;F;0;1;no;65.38;5.01
above head;U14;F;0;1;no;26.72;6.31
layup;U14;F;1;0;dribble or cut;54.7;0.72
above head;U14;F;0;1;no;33.47;5.15
above head;U14;F;0;1;no;33.45;3.98
above head;U14;F;1;1;no;10.2;7.26
above head;U14;F;0;1;no;75.03;4.33
above head;U14;F;0;1;no;16.61;7.12
layup;U14;F;0;0;dribble or cut;61.7;0.43
other;U14;F;0;0;dribble or cut;8.28;9.67
other;U14;F;0;1;no;82.9;5.99
above head;U14;F;1;1;no;2.72;3.38
above head;U14;F;0;0;dribble or cut;4.79;1.28
above head;U14;F;1;1;no;9.45;3.59
above head;U14;F;0;0;dribble or cut;18.55;1.18
above head;U14;F;0;0;no;1.31;4.67
other;U14;F;0;0;no;17.4;1.79
layup;U14;F;0;1;no;45.76;0.6
above head;U14;F;0;1;no;64;3.04
layup;U14;F;0;1;no;45.58;0.75
layup;U14;F;0;1;no;52.08;0.68
layup;U14;F;0;1;no;59.17;0.5
other;U14;F;0;0;drive;47.55;1.82
other;U14;F;0;0;drive;5.6;2.75
hook shot;U14;F;0;1;no;13.48;1.15
above head;U14;F;1;1;no;61.2;0.98
layup;U14;F;0;1;no;45.58;0.75
layup;U14;F;0;1;no;62.44;0.79
above head;U14;F;0;1;no;36.54;7.29
layup;U14;F;0;1;no;50.76;0.83
layup;U14;F;1;1;no;38.52;0.95
above head;U14;F;1;1;no;48.67;1.85
layup;U14;C;0;1;no;62.65;1.03
above head;U14;C;1;1;no;22.55;1.68
layup;U14;C;0;1;no;71.09;0.62
hook shot;U14;C;1;1;no;17.18;1.45
layup;U14;C;1;1;no;3.04;1.01
above head;U14;C;0;1;no;15.1;0.82
layup;U14;C;1;0;dribble or cut;17.33;0.72
hook shot;U14;C;1;1;no;23.62;1.34
layup;U14;C;0;0;dribble or cut;55.84;0.65
above head;U14;C;0;1;no;16.34;1.33
layup;U14;C;1;0;dribble or cut;80.91;0.6
above head;U14;C;1;0;no;57.01;0.77
layup;U14;C;1;0;dribble or cut;45.61;3.6
above head;U14;C;0;1;no;57.86;0.89
layup;U14;C;1;1;no;65.66;0.88
layup;U14;C;1;0;dribble or cut;62.44;0.79
above head;U14;C;1;1;no;75.89;0.83
above head;U14;F;0;1;no;2.05;7.48
above head;U14;F;0;1;no;47.32;7.29
hook shot;U14;F;0;1;no;58.61;1.32
above head;U14;F;0;0;dribble or cut;53.68;1.8
above head;U14;F;0;1;no;51.69;7.1
above head;U14;F;0;1;no;82.52;4.86
above head;U14;F;0;1;no;63.18;4.86
other;U14;F;0;1;no;26.53;4.44
layup;U14;F;0;0;drive;68.45;0.4
layup;U14;F;1;0;dribble or cut;62.05;0.55
above head;U14;F;0;1;no;76.31;3.58
above head;U14;F;0;1;no;58.46;4.4
layup;U14;F;0;0;dribble or cut;59.07;0.81
layup;U14;F;1;0;dribble or cut;42.97;0.86
layup;U14;G;0;0;dribble or cut;60.52;0.74
above head;U14;G;0;1;no;23.06;3.15
above head;U14;G;0;0;no;66.26;1.17
layup;U14;G;1;0;dribble or cut;54.7;0.72
above head;U14;G;0;1;no;48.19;6.04
above head;U14;G;0;1;no;39.79;3.77
above head;U14;G;0;1;no;0;4.78
above head;U14;G;0;1;no;76.16;5.57
above head;U14;G;0;1;no;47.98;5.05
other;U14;G;1;0;dribble or cut;40.74;4.1
above head;U14;G;0;1;no;10.7;4.04
above head;U14;G;0;1;no;87.88;6.92
layup;U14;G;0;0;dribble or cut;45.46;0.9
hook shot;U14;G;0;1;no;14.18;0.87
above head;U14;G;0;1;no;7.11;3.89
layup;U14;G;1;0;dribble or cut;59.97;0.62
above head;U14;G;0;1;no;4.14;3.71
layup;U14;G;0;0;dribble or cut;64.48;0.59
other;U14;G;0;0;no;32.14;1.51
above head;U14;G;0;1;no;52.74;7.27
above head;U14;G;0;1;no;13.31;6.52
other;U14;G;0;0;drive;64.48;0.59
other;U14;G;1;0;no;27.18;0.47
above head;U14;G;0;0;no;14.14;1.1
above head;U14;G;0;0;no;51.36;0.75
layup;U14;G;0;1;no;68.3;0.69
above head;U14;G;1;0;no;54.7;0.72
above head;U14;G;0;1;no;26.12;7.3
above head;U14;G;0;1;no;51.99;7.41
layup;U14;G;1;0;dribble or cut;78.94;0.49
layup;U14;G;0;0;drive;55.7;0.45
other;U14;G;0;0;dribble or cut;75.28;1.22
above head;U14;G;0;1;no;1.06;2.89
above head;U14;G;0;1;no;33.16;5.39
other;U14;G;0;0;dribble or cut;10.1;0.92
other;U14;G;0;0;dribble or cut;60.04;1.05
above head;U14;G;0;1;no;82.23;1.89
other;U14;G;0;0;no;16.14;0.77
other;U14;G;1;0;dribble or cut;42.29;0.64
layup;U14;G;1;1;no;66.54;0.64
layup;U14;G;1;0;dribble or cut;62.05;0.55
layup;U14;G;0;1;no;62.28;0.67
above head;U14;G;0;0;no;48.67;0.71
above head;U14;G;0;1;no;7.63;7.27
above head;U14;G;0;1;no;20.7;7.12
layup;U14;G;1;0;dribble or cut;76.6;3.19
other;U14;G;0;0;drive;66.54;0.64
other;U14;G;0;1;no;75.16;7.09
other;U14;G;1;0;dribble or cut;64.28;0.71
other;U14;G;0;1;no;14.61;7.22
above head;U14;G;0;1;no;5.61;7.13
above head;U14;G;0;1;no;33.07;0.88
above head;U14;G;0;1;no;16.75;1.67
other;U14;G;0;1;no;61.26;7.03
above head;U14;G;0;1;no;43.36;1.09
above head;U14;G;0;1;no;6.89;7.15
layup;U14;G;1;1;no;46.07;0.45
layup;U14;G;0;0;dribble or cut;57.01;0.77
other;U14;G;0;1;no;6.03;7.13
layup;U14;G;0;0;dribble or cut;71.09;0.62
layup;U14;G;0;1;no;61.2;0.98
above head;U14;G;0;1;no;50.89;7.32
above head;U14;G;0;1;no;19.6;7.19
above head;U14;G;0;1;no;61.5;7.19
above head;U14;G;0;1;no;67.64;5.91
other;U14;G;1;0;no;70.94;0.45
layup;U14;G;0;1;no;15.52;0.6
above head;U14;G;0;1;no;52.46;5.81
above head;U14;G;0;1;no;18.53;1.35
other;U14;G;0;1;no;27.74;8.75
layup;U14;G;0;0;dribble or cut;58.33;0.69
above head;U14;G;0;1;no;29.77;5.07
layup;U14;G;0;0;dribble or cut;52.99;0.6
other;U14;G;0;0;drive;66.54;0.64
above head;U14;G;0;1;no;65.66;0.88
above head;U14;G;0;1;no;46.86;7.86
layup;U14;G;1;0;dribble or cut;62.44;0.79
above head;U14;G;0;1;no;35.8;7.42
above head;U14;G;0;1;no;50.2;1.32
above head;U14;G;0;1;no;25.16;7.18
layup;U14;G;0;1;no;37.61;0.53
above head;U14;G;0;1;no;51.76;7.03
above head;U14;G;0;1;no;47.75;0.94
layup;U14;G;1;0;dribble or cut;59.97;0.62
above head;U14;G;0;1;no;64.69;4.5
above head;U14;G;0;1;no;17.97;7.12
above head;U14;G;0;1;no;30.73;6.19
other;U14;G;1;0;dribble or cut;29.91;1.29
layup;U14;G;0;1;no;62.65;1.03
above head;U14;G;0;1;no;6.79;7.25
above head;U14;G;0;1;no;86.1;6.93
above head;U14;G;0;1;no;13.34;2.09
layup;U14;G;0;0;dribble or cut;66.54;0.64
layup;U14;G;1;0;dribble or cut;55.84;0.65
layup;U14;G;0;1;no;62.05;0.55
above head;U14;G;0;1;no;10.08;7.04
layup;U14;G;1;0;dribble or cut;67.57;0.81
above head;U14;G;0;1;no;55.17;7.05
layup;U14;G;0;0;dribble or cut;66.54;0.64
layup;U14;G;0;0;dribble or cut;54.15;0.53
above head;U14;G;0;0;dribble or cut;4.31;2.85
other;U14;G;0;0;dribble or cut;29.62;0.54
above head;U14;G;0;1;no;25.98;2.2
above head;U14;G;1;0;dribble or cut;16.82;1.11
above head;U14;G;0;1;no;35.76;7.15
above head;U14;G;1;1;no;72.93;0.5
above head;U14;G;0;1;no;60.1;3.21
layup;U14;G;0;0;dribble or cut;49.7;0.56
above head;U14;G;0;1;no;41.27;7.15
above head;U14;G;0;1;no;66.54;0.64
layup;U14;G;1;0;dribble or cut;22.73;0.28
layup;U14;C;0;0;drive;62.44;0.79
layup;U14;C;1;0;dribble or cut;75.89;0.61
above head;U14;C;1;0;no;74.93;0.78
other;U14;C;0;1;no;88.8;4.5
above head;U14;C;0;1;no;83.3;4.96
layup;U14;C;0;1;no;66.03;0.76
above head;U14;C;0;1;no;68.3;0.69
layup;U14;C;0;0;drive;29.62;0.54
layup;U14;C;0;1;no;66.03;0.76
layup;U14;C;0;0;dribble or cut;74.93;0.78
above head;U14;C;0;0;no;70.14;0.91
above head;U14;C;0;1;no;69.83;0.74
above head;U14;C;0;1;no;47.95;7.21
hook shot;U14;C;0;0;no;21.22;1.78
above head;U14;C;0;1;no;40.97;0.98
hook shot;U14;C;0;1;no;51.78;1.02
above head;U14;C;0;0;no;70.5;1.25
layup;U14;C;0;0;drive;59.07;0.81
above head;U14;C;0;0;no;64.28;0.71
above head;U14;C;0;0;no;49.18;1.13
layup;U14;C;1;1;no;69.35;0.57
layup;U14;C;0;1;no;70.14;0.91
layup;U14;C;1;0;dribble or cut;72.93;0.5
hook shot;U14;C;0;1;no;70.78;1.76
layup;U14;C;0;0;drive;62.05;0.55
above head;U14;C;0;1;no;67.54;1.8
above head;U14;C;0;1;no;47.75;0.94
above head;U14;C;0;0;dribble or cut;55.35;1.3
above head;U14;C;0;1;no;6.49;0.47
layup;U14;C;0;1;no;59.62;0.93
layup;U14;C;0;1;no;39.23;0.68
layup;U14;C;0;1;no;62.05;0.55
layup;U14;C;0;1;no;50.76;0.83
layup;U14;C;1;0;dribble or cut;69.35;0.57
above head;U14;C;0;0;no;16.54;0.94
other;U14;C;0;1;no;61.55;5.85
above head;U14;C;0;1;no;21.87;1.73
above head;U14;C;0;0;dribble or cut;19.42;1.13
other;U14;G;0;1;no;28.78;7.23
above head;U14;G;0;1;no;60.04;1.05
layup;U14;G;0;0;dribble or cut;59.97;0.62
layup;U14;G;0;0;dribble or cut;86.08;0.59
layup;U14;G;1;0;dribble or cut;38.52;0.95
above head;U14;G;1;1;no;71.77;2.54
other;U14;G;0;1;no;5.37;5.72
layup;U14;G;0;0;dribble or cut;73.83;0.73
above head;U14;G;0;1;no;72.99;6.95
other;U14;G;0;1;no;87.88;6.92
layup;U14;G;0;0;dribble or cut;69.83;0.74
other;U14;G;0;1;no;69.89;2
other;U14;G;0;1;no;34.46;7.1
other;U14;G;0;1;no;25.93;7.35
other;U14;G;0;1;no;69.28;5.44
layup;U14;G;0;0;dribble or cut;56.84;0.96
hook shot;U14;G;0;1;no;18.71;0.67
above head;U14;G;0;1;no;53.34;7.01
layup;U14;G;0;0;dribble or cut;37.97;0.87
layup;U14;G;1;0;dribble or cut;77.03;0.66
layup;U14;G;0;0;dribble or cut;62.56;0.91
above head;U14;G;0;1;no;42.28;7.41
above head;U14;G;0;1;no;88.02;4.29
other;U14;G;0;1;no;42.91;7.55
layup;U14;G;0;1;no;45.76;0.6
above head;U14;C;0;0;no;53.57;1.07
layup;U14;C;1;0;dribble or cut;48;0.87
above head;U14;C;0;1;no;25.75;1.48
above head;U14;C;0;1;no;72.93;0.5
above head;U14;F;0;1;no;32.56;8.16
above head;U14;F;0;1;no;44.93;7.28
above head;U14;F;0;0;dribble or cut;4.77;1.93
layup;U14;F;0;0;drive;55.97;1.03
above head;U14;F;0;1;no;86.52;6.87
above head;U14;F;0;1;no;25.8;1.6
above head;U14;F;0;1;no;32.05;7.67
above head;U14;F;0;1;no;10.46;7.38
above head;U14;F;0;1;no;69.83;0.74
layup;U14;F;1;1;no;30.52;0.42
above head;U14;F;0;1;no;49.6;7.46
above head;U14;F;0;1;no;33.15;7.44
above head;U14;F;0;1;no;10.79;7.44
hook shot;U14;F;0;1;no;11.44;0.81
above head;U14;F;0;1;no;60.87;7.05
other;U14;F;0;1;no;29.31;7.33
other;U14;F;0;0;drive;59.97;0.62
other;U14;F;0;1;no;78.91;7.21
above head;U14;F;0;1;no;17.33;0.72
above head;U14;F;0;1;no;13.68;7.25
above head;U14;F;0;1;no;28.03;7.18
above head;U14;F;0;1;no;37.93;2.44
above head;U14;F;0;0;no;5.23;1.18
other;U14;F;1;0;dribble or cut;55.84;0.65
above head;U14;F;0;1;no;58.78;7.14
above head;U14;F;0;1;no;28.31;7.57
above head;U14;F;0;1;no;33.38;7.21
above head;U14;F;0;0;dribble or cut;59.42;2.3
above head;U14;F;0;0;no;60.04;1.05
layup;U14;F;1;0;dribble or cut;42.56;0.71
other;U14;F;0;0;dribble or cut;11.61;2.13
layup;U14;F;0;0;dribble or cut;3.4;0.9
above head;U14;F;0;1;no;49.11;7.3
other;U14;F;0;1;no;22.53;5.17
other;U14;F;0;0;dribble or cut;14.86;1.88
layup;U14;F;1;0;dribble or cut;69.35;0.57
above head;U14;F;0;1;no;3.38;7.27
other;U14;F;0;1;no;27.81;1.26
layup;U14;F;1;0;dribble or cut;38.52;0.6
above head;U14;F;1;1;no;0;0.42
above head;U14;F;0;1;no;68.45;3.63
layup;U14;F;0;0;dribble or cut;19.89;0.79
layup;U14;F;0;1;no;45.9;0.52
layup;U14;F;0;1;no;59.17;0.5
layup;U14;F;1;0;dribble or cut;67.28;0.52
above head;U14;F;0;1;no;29.62;7.48
layup;U14;F;0;1;no;61.07;0.31
above head;U14;F;0;1;no;29.32;6.35
above head;U14;F;0;0;dribble or cut;24.08;2.76
above head;U14;F;0;1;no;21.9;7.18
layup;U14;F;0;0;dribble or cut;52.99;0.6
above head;U14;F;0;1;no;83.88;4.42
layup;U14;F;0;0;dribble or cut;36.39;0.45
above head;U14;F;0;1;no;83.46;5.55
above head;U14;F;0;0;dribble or cut;19.28;1.3
layup;U14;F;0;1;no;54.7;0.72
above head;U14;F;0;1;no;69.35;6.98
layup;U14;G;1;0;dribble or cut;68.45;0.4
layup;U14;G;0;0;dribble or cut;58.33;0.69
other;U14;G;0;1;no;66.34;4.8
layup;U14;G;1;0;dribble or cut;58.33;0.69
above head;U14;G;0;1;no;27.65;7.16
above head;U14;G;0;1;no;30.37;7.1
above head;U14;G;0;1;no;85.82;4.24
above head;U14;G;0;1;no;35.31;7.04
layup;U14;G;1;0;dribble or cut;67.28;0.52
above head;U14;G;0;1;no;11.85;7.3
above head;U14;G;0;1;no;8.35;7.01
above head;U14;G;0;1;no;6.98;2.64
above head;U14;G;0;1;no;38.79;7.1
layup;U14;G;0;1;no;68.93;0.86
above head;U14;G;0;0;no;0;2.03
above head;U14;G;0;1;no;11.19;7.18
above head;U14;G;0;1;no;38.14;7.72
above head;U14;G;0;1;no;46.78;7.06
above head;U14;G;0;1;no;13.99;7.09
above head;U14;G;0;1;no;18.93;7.1
above head;U14;G;0;1;no;31.09;5.71
layup;U14;G;0;0;dribble or cut;21.06;0.45
layup;U14;G;1;0;dribble or cut;59.97;0.62
above head;U14;G;0;1;no;10.93;7.06
above head;U14;G;0;1;no;43.62;1.32
above head;U14;G;0;1;no;14.1;7.04
above head;U14;G;0;1;no;30.38;6.04
above head;U14;G;0;1;no;22.96;7
above head;U14;G;1;1;no;52.99;7.04
layup;U14;G;0;0;drive;74.55;0.56
above head;U14;G;0;1;no;46.43;7.25
other;U14;G;0;1;no;12.86;7.22
above head;U14;G;1;1;no;25.24;5.4
above head;U14;G;0;1;no;61.47;3.35
above head;U14;G;0;1;no;54.11;7.14
above head;U14;G;1;0;no;4.52;2.04
other;U14;G;0;1;no;3.83;7.22
other;U14;G;0;1;no;80.76;4.61
other;U14;G;0;1;no;50.49;6.67
other;U14;G;0;0;dribble or cut;50.76;0.83
layup;U14;C;0;1;no;66.03;0.76
above head;U14;C;0;1;no;60.91;0.86
layup;U14;C;0;1;no;23.85;0.4
other;U14;C;0;0;drive;64.14;0.83
layup;U14;C;0;1;no;0;0.69
other;U14;C;0;0;drive;21.42;1.03
above head;U14;C;0;1;no;75.57;2.32
above head;U14;C;0;1;no;66.81;2.56
layup;U14;C;0;0;dribble or cut;69.35;0.57
above head;U14;C;0;1;no;2.46;5
above head;U14;C;1;1;no;58.33;0.69
above head;U14;C;0;1;no;1.69;1.82
